vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国对美国进出口总额2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 63756705.024 | 2021-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 61247150.02 | 2021-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57993520.408 | 2021-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 55992214 | 2021-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 55949135 | 2021-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 49514007 | 2021-02-28 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 60283807 | 2021-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 63087752 | 2020-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 66535340 | 2020-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56286026 | 2020-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57167522.626 | 2020-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 55305956.32 | 2020-08-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 55006683.079 | 2020-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 50251553.032 | 2020-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 46546244.684 | 2020-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 41253743.485 | 2020-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 35087882.735 | 2020-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 19081963.491 | 2020-02-29 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 41488630.555 | 2020-01-31 | 海关总署 |
",2026-08-03T11:21:56.928843+08:00
