date,realtime_end,realtime_start,value
2021-04-01,2026-08-03,2026-08-03,76.6806
2021-05-01,2026-08-03,2026-08-03,77.5331
2021-06-01,2026-08-03,2026-08-03,77.5677
2021-07-01,2026-08-03,2026-08-03,78.295
2021-08-01,2026-08-03,2026-08-03,77.9251
2021-09-01,2026-08-03,2026-08-03,77.0224
2021-10-01,2026-08-03,2026-08-03,78.1049
2021-11-01,2026-08-03,2026-08-03,78.5506
2021-12-01,2026-08-03,2026-08-03,78.4351
2022-01-01,2026-08-03,2026-08-03,77.7378
2022-02-01,2026-08-03,2026-08-03,78.1748
2022-03-01,2026-08-03,2026-08-03,78.5575
2022-04-01,2026-08-03,2026-08-03,78.4892
2022-05-01,2026-08-03,2026-08-03,78.1251
2022-06-01,2026-08-03,2026-08-03,77.6834
2022-07-01,2026-08-03,2026-08-03,77.7019
2022-08-01,2026-08-03,2026-08-03,77.654
2022-09-01,2026-08-03,2026-08-03,77.6645
2022-10-01,2026-08-03,2026-08-03,77.8544
2022-11-01,2026-08-03,2026-08-03,77.2186
2022-12-01,2026-08-03,2026-08-03,75.8688
2023-01-01,2026-08-03,2026-08-03,77.1602
2023-02-01,2026-08-03,2026-08-03,77.1498
2023-03-01,2026-08-03,2026-08-03,76.6104
2023-04-01,2026-08-03,2026-08-03,77.2433
2023-05-01,2026-08-03,2026-08-03,77.0575
2023-06-01,2026-08-03,2026-08-03,76.4881
2023-07-01,2026-08-03,2026-08-03,76.7273
2023-08-01,2026-08-03,2026-08-03,76.6542
2023-09-01,2026-08-03,2026-08-03,76.672
2023-10-01,2026-08-03,2026-08-03,76.2599
2023-11-01,2026-08-03,2026-08-03,76.5305
2023-12-01,2026-08-03,2026-08-03,76.4545
2024-01-01,2026-08-03,2026-08-03,75.2859
2024-02-01,2026-08-03,2026-08-03,76.2145
2024-03-01,2026-08-03,2026-08-03,76.2676
2024-04-01,2026-08-03,2026-08-03,75.805
2024-05-01,2026-08-03,2026-08-03,76.1923
2024-06-01,2026-08-03,2026-08-03,76.006
2024-07-01,2026-08-03,2026-08-03,75.3409
2024-08-01,2026-08-03,2026-08-03,75.6471
2024-09-01,2026-08-03,2026-08-03,75.1957
2024-10-01,2026-08-03,2026-08-03,74.6339
2024-11-01,2026-08-03,2026-08-03,74.7343
2024-12-01,2026-08-03,2026-08-03,74.9627
2025-01-01,2026-08-03,2026-08-03,74.6327
2025-02-01,2026-08-03,2026-08-03,75.523
2025-03-01,2026-08-03,2026-08-03,75.785
2025-04-01,2026-08-03,2026-08-03,75.6285
2025-05-01,2026-08-03,2026-08-03,75.468
2025-06-01,2026-08-03,2026-08-03,75.6385
2025-07-01,2026-08-03,2026-08-03,75.9194
2025-08-01,2026-08-03,2026-08-03,75.8608
2025-09-01,2026-08-03,2026-08-03,75.798
2025-10-01,2026-08-03,2026-08-03,75.1411
2025-11-01,2026-08-03,2026-08-03,74.9686
2025-12-01,2026-08-03,2026-08-03,74.7232
2026-01-01,2026-08-03,2026-08-03,74.6786
2026-02-01,2026-08-03,2026-08-03,75.1507
2026-03-01,2026-08-03,2026-08-03,75.2408
2026-04-01,2026-08-03,2026-08-03,75.7148
2026-05-01,2026-08-03,2026-08-03,75.756
2026-06-01,2026-08-03,2026-08-03,75.6782
